,audio_status,audio_status_time
1044,1,1457.076151952
1045,1,1457.076788522
1046,1,1457.086756986
1047,1,1457.087553726
1048,1,1457.0881944
1049,1,1457.088836783
1050,1,1457.089490101
1051,1,1457.090183589
1052,1,1457.090885977
1053,1,1457.091557286
1054,1,1457.092187641
1055,1,1457.092827111
1056,1,1457.093486044
1057,1,1457.103291504
1058,1,1457.104143111
1059,1,1457.104844149
1060,1,1457.105531204
1061,1,1457.106250512
1062,1,1457.106947242
1063,1,1457.10783532
1064,1,1457.108510403
1065,1,1457.109226523
1066,1,1457.109886275
1067,1,1457.110573467
1068,1,1457.119890237
1069,1,1457.120754549
1070,1,1457.121380877
1071,1,1457.122013061
1072,1,1457.122672605
1073,1,1457.123303834
1074,1,1457.123913777
1075,1,1457.124612113
1076,1,1457.125284193
1077,1,1457.125947901
1078,1,1457.126611431
1079,1,1457.13642183
1080,1,1457.137251266
1081,1,1457.137909181
1082,1,1457.138547876
1083,1,1457.139171466
1084,1,1457.139821723
1085,1,1457.140564885
1086,1,1457.141245867
1087,1,1457.141933764
1088,1,1457.142627073
1089,1,1457.143312601
1090,1,1457.153344279
1091,1,1457.154227322
1092,1,1457.154883869
1093,1,1457.155539377
1094,1,1457.156132863
1095,1,1457.156791601
1096,1,1457.157434423
1097,1,1457.158031744
1098,1,1457.158691511
1099,1,1457.159319083
1100,1,1457.15996475
1101,1,1457.169721684
1102,1,1457.17058074
1103,1,1457.17126172
1104,1,1457.171941749
1105,1,1457.172596745
1106,1,1457.173227147
1107,1,1457.173857992
1108,1,1457.174502121
1109,1,1457.175120755
1110,1,1457.175762297
1111,1,1457.176391423
1112,1,1457.186619469
1113,1,1457.187464884
1114,1,1457.188139911
1115,1,1457.188865356
1116,1,1457.18952451
1117,1,1457.190220274
1118,1,1457.190926715
1119,1,1457.1916217
1120,1,1457.192266325
1121,1,1457.193035231
1122,1,1457.193724163
1123,1,1457.203533915
1124,1,1457.204462993
1125,1,1457.205133347
1126,1,1457.205749675
1127,1,1457.206374704
1128,1,1457.20698623
1129,1,1457.207682906
1130,1,1457.208370405
1131,1,1457.209061142
1132,1,1457.209696257
1133,1,1457.210357803
1134,1,1457.226771044
1135,1,1457.22762163
1136,1,1457.22827238
1137,1,1457.22891918
1138,1,1457.229560315
1139,1,1457.230203617
1140,1,1457.230861643
1141,1,1457.231468022
1142,1,1457.232097622
1143,1,1457.232912366
1144,1,1457.233553676
1145,1,1457.253591715
1146,1,1457.254463761
1147,1,1457.255122266
1148,1,1457.255751886
1149,1,1457.256356267
1150,1,1457.256978943
1151,1,1457.257632386
1152,1,1457.258284716
1153,1,1457.25889611
1154,1,1457.259573425
1155,1,1457.26016138
1156,1,1457.27002542
1157,1,1457.270909461
1158,1,1457.271547589
1159,1,1457.272206939
1160,1,1457.272846265
1161,1,1457.273483721
1162,1,1457.274133111
1163,1,1457.274844141
1164,1,1457.280670862
1165,1,1457.287008463
1166,1,1457.293322877
1167,1,1457.319612799
1168,1,1457.320554394
1169,1,1457.321244835
1170,1,1457.321842784
1171,1,1457.322467757
1172,1,1457.323154516
1173,1,1457.323815963
1174,1,1457.324498059
1175,1,1457.325237684
1176,1,1457.325882836
1177,1,1457.326597704
1178,1,1457.336666027
1179,1,1457.337531783
1180,1,1457.338340954
1181,1,1457.338971343
1182,1,1457.339645644
1183,1,1457.340266381
1184,1,1457.34089687
1185,1,1457.341538079
1186,1,1457.342188105
1187,1,1457.342845517
1188,1,1457.343528725
1189,1,1457.353999445
1190,1,1457.354892116
1191,1,1457.355572782
1192,1,1457.356254859
1193,1,1457.356897031
1194,1,1457.357569705
1195,1,1457.358333426
1196,1,1457.358979021
1197,1,1457.359632514
1198,1,1457.360319425
1199,1,1457.361024201
1200,1,1457.369591599
1201,1,1457.370314947
1202,1,1457.370929102
1203,1,1457.371556152
1204,1,1457.372184644
1205,1,1457.372845834
1206,1,1457.373484133
1207,1,1457.374100624
1208,1,1457.374773155
1209,1,1457.375387057
1210,1,1457.376034274
1211,1,1457.386579198
1212,1,1457.387453704
1213,1,1457.388119955
1214,1,1457.388775437
1215,1,1457.389437939
1216,1,1457.390087204
1217,1,1457.390782237
1218,1,1457.391517041
1219,1,1457.39218273
1220,1,1457.392867379
1221,1,1457.393493162
1222,1,1457.403029302
1223,1,1457.403826141
1224,1,1457.404491077
1225,1,1457.405161037
1226,1,1457.405819389
1227,1,1457.406563951
1228,1,1457.407320646
1229,1,1457.407991081
1230,1,1457.408667964
1231,1,1457.409385981
1232,1,1457.410182543
1233,1,1457.419407666
1234,1,1457.420233744
1235,1,1457.420919566
1236,1,1457.421591301
1237,1,1457.422244382
1238,1,1457.422858157
1239,1,1457.423528795
1240,1,1457.424152337
1241,1,1457.424756443
1242,1,1457.425387643
1243,1,1457.426018064
1244,1,1457.436097305
1245,1,1457.436827732
1246,1,1457.437499354
1247,1,1457.438068397
1248,1,1457.438666692
1249,1,1457.439323033
1250,1,1457.439969245
1251,1,1457.440544445
1252,1,1457.441128444
1253,1,1457.441835554
1254,1,1457.442414469
1255,1,1457.452655242
1256,1,1457.453519343
1257,1,1457.454213986
1258,1,1457.454845363
1259,1,1457.45544295
1260,1,1457.456140064
1261,1,1457.456782462
1262,1,1457.457387069
